lng,lat,val
139.7615,35.666,200
139.762,35.666,250
139.7625,35.666,300
139.763,35.666,350
139.7635,35.666,400
139.764,35.666,450
139.7645,35.666,500
139.765,35.666,550
139.7655,35.666,600
139.766,35.666,650
139.7665,35.666,700
139.767,35.666,650
139.7675,35.666,600
139.768,35.666,550
139.7685,35.666,500
139.769,35.666,450
139.7695,35.666,400
139.77,35.666,350
139.7705,35.666,300
139.771,35.666,250
139.7715,35.666,200
139.7615,35.6665,250
139.762,35.6665,295
139.7625,35.6665,340
139.763,35.6665,385
139.7635,35.6665,430
139.764,35.6665,475
139.7645,35.6665,520
139.765,35.6665,565
139.7655,35.6665,610
139.766,35.6665,655
139.7665,35.6665,700
139.767,35.6665,655
139.7675,35.6665,610
139.768,35.6665,565
139.7685,35.6665,520
139.769,35.6665,475
139.7695,35.6665,430
139.77,35.6665,385
139.7705,35.6665,340
139.771,35.6665,295
139.7715,35.6665,250
139.7615,35.667,300
139.762,35.667,340
139.7625,35.667,380
139.763,35.667,420
139.7635,35.667,460
139.764,35.667,500
139.7645,35.667,540
139.765,35.667,580
139.7655,35.667,620
139.766,35.667,660
139.7665,35.667,700
139.767,35.667,660
139.7675,35.667,620
139.768,35.667,580
139.7685,35.667,540
139.769,35.667,500
139.7695,35.667,460
139.77,35.667,420
139.7705,35.667,380
139.771,35.667,340
139.7715,35.667,300
139.7615,35.6675,350
139.762,35.6675,385
139.7625,35.6675,420
139.763,35.6675,455
139.7635,35.6675,490
139.764,35.6675,525
139.7645,35.6675,560
139.765,35.6675,595
139.7655,35.6675,630
139.766,35.6675,665
139.7665,35.6675,700
139.767,35.6675,665
139.7675,35.6675,630
139.768,35.6675,595
139.7685,35.6675,560
139.769,35.6675,525
139.7695,35.6675,490
139.77,35.6675,455
139.7705,35.6675,420
139.771,35.6675,385
139.7715,35.6675,350
139.7615,35.668,400
139.762,35.668,430
139.7625,35.668,460
139.763,35.668,490
139.7635,35.668,520
139.764,35.668,550
139.7645,35.668,580
139.765,35.668,610
139.7655,35.668,640
139.766,35.668,670
139.7665,35.668,700
139.767,35.668,670
139.7675,35.668,640
139.768,35.668,610
139.7685,35.668,580
139.769,35.668,550
139.7695,35.668,520
139.77,35.668,490
139.7705,35.668,460
139.771,35.668,430
139.7715,35.668,400
139.7615,35.6685,450
139.762,35.6685,475
139.7625,35.6685,500
139.763,35.6685,525
139.7635,35.6685,550
139.764,35.6685,575
139.7645,35.6685,600
139.765,35.6685,625
139.7655,35.6685,650
139.766,35.6685,675
139.7665,35.6685,700
139.767,35.6685,675
139.7675,35.6685,650
139.768,35.6685,625
139.7685,35.6685,600
139.769,35.6685,575
139.7695,35.6685,550
139.77,35.6685,525
139.7705,35.6685,500
139.771,35.6685,475
139.7715,35.6685,450
139.7615,35.669,500
139.762,35.669,520
139.7625,35.669,540
139.763,35.669,560
139.7635,35.669,580
139.764,35.669,600
139.7645,35.669,620
139.765,35.669,640
139.7655,35.669,660
139.766,35.669,680
139.7665,35.669,700
139.767,35.669,680
139.7675,35.669,660
139.768,35.669,640
139.7685,35.669,620
139.769,35.669,600
139.7695,35.669,580
139.77,35.669,560
139.7705,35.669,540
139.771,35.669,520
139.7715,35.669,500
139.7615,35.6695,550
139.762,35.6695,565
139.7625,35.6695,580
139.763,35.6695,595
139.7635,35.6695,610
139.764,35.6695,625
139.7645,35.6695,640
139.765,35.6695,655
139.7655,35.6695,670
139.766,35.6695,685
139.7665,35.6695,700
139.767,35.6695,685
139.7675,35.6695,670
139.768,35.6695,655
139.7685,35.6695,640
139.769,35.6695,625
139.7695,35.6695,610
139.77,35.6695,595
139.7705,35.6695,580
139.771,35.6695,565
139.7715,35.6695,550
139.7615,35.67,600
139.762,35.67,610
139.7625,35.67,620
139.763,35.67,630
139.7635,35.67,640
139.764,35.67,650
139.7645,35.67,660
139.765,35.67,670
139.7655,35.67,680
139.766,35.67,690
139.7665,35.67,700
139.767,35.67,690
139.7675,35.67,680
139.768,35.67,670
139.7685,35.67,660
139.769,35.67,650
139.7695,35.67,640
139.77,35.67,630
139.7705,35.67,620
139.771,35.67,610
139.7715,35.67,600
139.7615,35.6705,650
139.762,35.6705,655
139.7625,35.6705,660
139.763,35.6705,665
139.7635,35.6705,670
139.764,35.6705,675
139.7645,35.6705,680
139.765,35.6705,685
139.7655,35.6705,690
139.766,35.6705,695
139.7665,35.6705,700
139.767,35.6705,695
139.7675,35.6705,690
139.768,35.6705,685
139.7685,35.6705,680
139.769,35.6705,675
139.7695,35.6705,670
139.77,35.6705,665
139.7705,35.6705,660
139.771,35.6705,655
139.7715,35.6705,650
139.7615,35.671,700
139.762,35.671,700
139.7625,35.671,700
139.763,35.671,700
139.7635,35.671,700
139.764,35.671,700
139.7645,35.671,700
139.765,35.671,700
139.7655,35.671,700
139.766,35.671,700
139.7665,35.671,700
139.767,35.671,700
139.7675,35.671,700
139.768,35.671,700
139.7685,35.671,700
139.769,35.671,700
139.7695,35.671,700
139.77,35.671,700
139.7705,35.671,700
139.771,35.671,700
139.7715,35.671,700
139.7615,35.6715,650
139.762,35.6715,655
139.7625,35.6715,660
139.763,35.6715,665
139.7635,35.6715,670
139.764,35.6715,675
139.7645,35.6715,680
139.765,35.6715,685
139.7655,35.6715,690
139.766,35.6715,695
139.7665,35.6715,700
139.767,35.6715,695
139.7675,35.6715,690
139.768,35.6715,685
139.7685,35.6715,680
139.769,35.6715,675
139.7695,35.6715,670
139.77,35.6715,665
139.7705,35.6715,660
139.771,35.6715,655
139.7715,35.6715,650
139.7615,35.672,600
139.762,35.672,610
139.7625,35.672,620
139.763,35.672,630
139.7635,35.672,640
139.764,35.672,650
139.7645,35.672,660
139.765,35.672,670
139.7655,35.672,680
139.766,35.672,690
139.7665,35.672,700
139.767,35.672,690
139.7675,35.672,680
139.768,35.672,670
139.7685,35.672,660
139.769,35.672,650
139.7695,35.672,640
139.77,35.672,630
139.7705,35.672,620
139.771,35.672,610
139.7715,35.672,600
139.7615,35.6725,550
139.762,35.6725,565
139.7625,35.6725,580
139.763,35.6725,595
139.7635,35.6725,610
139.764,35.6725,625
139.7645,35.6725,640
139.765,35.6725,655
139.7655,35.6725,670
139.766,35.6725,685
139.7665,35.6725,700
139.767,35.6725,685
139.7675,35.6725,670
139.768,35.6725,655
139.7685,35.6725,640
139.769,35.6725,625
139.7695,35.6725,610
139.77,35.6725,595
139.7705,35.6725,580
139.771,35.6725,565
139.7715,35.6725,550
139.7615,35.673,500
139.762,35.673,520
139.7625,35.673,540
139.763,35.673,560
139.7635,35.673,580
139.764,35.673,600
139.7645,35.673,620
139.765,35.673,640
139.7655,35.673,660
139.766,35.673,680
139.7665,35.673,700
139.767,35.673,680
139.7675,35.673,660
139.768,35.673,640
139.7685,35.673,620
139.769,35.673,600
139.7695,35.673,580
139.77,35.673,560
139.7705,35.673,540
139.771,35.673,520
139.7715,35.673,500
139.7615,35.6735,450
139.762,35.6735,475
139.7625,35.6735,500
139.763,35.6735,525
139.7635,35.6735,550
139.764,35.6735,575
139.7645,35.6735,600
139.765,35.6735,625
139.7655,35.6735,650
139.766,35.6735,675
139.7665,35.6735,700
139.767,35.6735,675
139.7675,35.6735,650
139.768,35.6735,625
139.7685,35.6735,600
139.769,35.6735,575
139.7695,35.6735,550
139.77,35.6735,525
139.7705,35.6735,500
139.771,35.6735,475
139.7715,35.6735,450
139.7615,35.674,400
139.762,35.674,430
139.7625,35.674,460
139.763,35.674,490
139.7635,35.674,520
139.764,35.674,550
139.7645,35.674,580
139.765,35.674,610
139.7655,35.674,640
139.766,35.674,670
139.7665,35.674,700
139.767,35.674,670
